date,bases,open_access_bases,bytes,open_access_bytes
"01/31/2016",4595579099310324,2717096966608739,2854731221748406,1783455498080998
"02/01/2016",4603926247104890,2725444114403305,2859063039791222,1787787316123814
"02/02/2016",4605317266342705,2726835133641120,2859882126066460,1788606402399052
"02/03/2016",4611564292543148,2733082159841563,2863778333331083,1792502609663675
"02/04/2016",4612883638066324,2734401505364739,2864658595932776,1793382872265368
"02/05/2016",4617348685660140,2738866552958555,2867604325380883,1796328601713475
"02/06/2016",4619419397666805,2739174473428648,2868746655651380,1796521539316737
"02/07/2016",4619524684243072,2739279760004915,2868813875985228,1796588759650585
"02/08/2016",4620688379507599,2740443455269442,2869562649933958,1797337533599315
"02/09/2016",4621343600666966,2741098676428809,2869975196586653,1797750080252010
"02/10/2016",4629118501251186,2748873577013029,2875990960123084,1803765843788441
"02/11/2016",4632410456467281,2752165532229124,2878114299222013,1805889182887370
"02/12/2016",4634389626156639,2754055775500041,2879408525334256,1807132673161628
"02/13/2016",4634755650032093,2754421799375495,2879665196205363,1807389344032735
"02/14/2016",4634968290275034,2754634439618436,2879771884712431,1807496032539803
"02/15/2016",4637923289428481,2757589438771883,2881721742845754,1809445890673126
"02/16/2016",4642391370423567,2762057519766969,2884618838552312,1812342986379684
"02/17/2016",4646116498953663,2765770068480765,2887143212784330,1814858284391859
"02/18/2016",4647508535525151,2767157502003853,2887929742724850,1815642449543375
"02/19/2016",4648117919520273,2767766885998975,2888281058389420,1815993765207945
"02/20/2016",4654434699570192,2768180025133708,2890396097930753,1816243759291616
"02/21/2016",4656689451159500,2770396607631390,2891591505086693,1817420910270114
"02/22/2016",4661173754386002,2774103633327723,2894469171062987,1819914443953423
"02/23/2016",4662138893097312,2775068772039033,2895068912677369,1820514185567805
"02/24/2016",4669015865769329,2781945744711050,2898360885796722,1823806158687158
"02/25/2016",4671203338781782,2784028155016203,2899753701136861,1825154501645159
"02/26/2016",4674933872980442,2787758689214863,2901776850534306,1827177651042604
"02/27/2016",4679888308264921,2792713124499342,2903936612644816,1829337413153114
"02/28/2016",4680188897430435,2793013713664856,2904109660331783,1829510460840081
"02/29/2016",4681638735400562,2794463551634983,2905050636124515,1830451436632813
"03/01/2016",4689972670901019,2799838253255714,2909705535420829,1833809068066946
"03/02/2016",4696527482413195,2806393064767890,2911903735687112,1836007268333229
"03/03/2016",4697481950938983,2806916735970542,2912414354626819,1836335100252342
"03/04/2016",4702505920332367,2811940705363926,2915329215037632,1839249960663155
